"Player Name","Lap Time","Position","Model Name","Country"
"ItsBlunty","130.773","123","TBS Oblivion","US"
"NaterFPV","133.535","124","TBS Oblivion","US"
"SnailWalker","137.243","125","TBS Spec","US"
"mrs miggins","139.471","126","Five33 Switchback","GB"
"Deimos FPV","140.402","127","Twig XL 3","US"
"BallHawk","140.449","128","Twig XL 3","CA"
"p1e","142.606","129","LightSwitch","UA"
"D3C4Y","143.697","130","Switchback Zero","DE"
"Torie","144.789","131","Switchback Zero","BE"
"Hyde","145.602","132","Twig XL 3","US"
"Taco_Rama","146.213","133","Twig XL 3","US"
"LUV4GOD","146.276","134","Slicer SR5","US"
"Sky_Max","147.936","135","Fox Crooked","IT"
"Deimos FPV","148.841","136","TBS Spec","US"
"NoSkillSammy","150.720","137","Chief","US"
"Saqoosha","154.333","138","TBS Spec","JP"
"Gagin","155.076","139","LightSwitch","CZ"
"HellfireFMR","158.972","140","Five33 Switchback","NK"
"RuZone86","163.347","141","Diatone GTB339","NK"
"SnailWalker","165.092","142","Twig XL 3","US"
"RuZone86","171.413","143","TBS Oblivion","NK"
"SnailWalker","171.516","144","Fox Crooked","US"
"MrLaser","172.775","145","Twig XL 3","US"
"Lounds","174.000","146","BetaFPV 75x","US"
"Bercik11palcow","183.326","147","Five33 Switchback","PL"
"WHATS NEXT","183.704","148","Five33 Switchback","NL"
"D3C4Y","185.792","149","Five33 Spec 7","DE"
"Kazimoto","201.295","150","Twig XL 3","US"
"Gunner Thrash","209.834","151","BetaFPV 75x","US"
"Buck65FPV","216.219","152","Twig XL 3","US"
"Casperskulls1289","226.058","153","Twig XL 3","NK"
"kung","226.730","154","DRP Mib 5","NK"
"Zikefire","227.073","155","Switchback Zero","US"
"MrMan","230.169","156","Heavy Metal","US"
"Meshgon","238.144","157","LightSwitch","US"
"Keem","243.143","158","TBS Oblivion","US"
"Gracana","252.077","159","Yakuza","US"
"knatic","266.836","160","Five33 Switchback","SI"
"FPVMartin","276.653","161","CrazyBee Micro","US"
"FPVMartin","281.534","162","Twig XL 3","US"
"Marc360","309.778","163","Twig XL 3","ZA"
"Arias_FPV","317.611","164","TBS Oblivion","MX"
"九鞭壮阳丸","323.466","165","Five33 Switchback","CN"
"perhaps","330.950","166","Five33 Switchback","NK"
"Yamal 2","336.347","167","HX115","RU"
"风铃起","336.976","168","AOS 5.5","NK"
"reduncle","337.125","169","Five33 Switchback","FR"
"IAMTHELIGHT","356.096","170","TBS Oblivion","IT"
"Francky91","460.177","171","BetaFPV 75x","FR"
"sangio","467.843","172","HX115","US"
"GeorgeCVG ","649.150","173","TBS Oblivion","NK"
